IEC CDD Code,UnitId,DisplayName,Description
0112/2///62720#UAA433,705745523,fl oz (UK)/h,ounce (UK fluid) per hour
0112/2///62720#UAA434,705745524,fl oz (UK)/min,ounce (UK fluid) per minute
0112/2///62720#UAA435,705745525,fl oz (UK)/s,ounce (UK fluid) per second
0112/2///62720#UAA436,705745526,fl oz (US)/d,ounce (US fluid) per day
0112/2///62720#UAA437,705745527,fl oz (US)/h,ounce (US fluid) per hour
0112/2///62720#UAA438,705745528,fl oz (US)/min,ounce (US fluid) per minute
0112/2///62720#UAA439,705745529,fl oz (US)/s,ounce (US fluid) per second
0112/2///62720#UAA440,705745552,ft,foot
0112/2///62720#UAA441,705745553,ft/°F,foot per degree Fahrenheit
0112/2///62720#UAA442,705745554,ft/h,foot per hour
0112/2///62720#UAA443,705745555,ft·lbf,foot pound‑force
0112/2///62720#UAA444,705745556,ft·lbf/h,foot pound-force per hour
0112/2///62720#UAA445,705745557,ft·lbf/min,foot pound-force per minute
0112/2///62720#UAA446,705745558,ft·lbf/s,foot pound-force per second
0112/2///62720#UAA447,705745559,ft/psi,foot per psi
0112/2///62720#UAA448,705745560,ft/min,foot per minute
0112/2///62720#UAA449,705745561,ft/s,foot per second
